Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Year
10,Sweden,185.8,128.2,56.9,74.3,75.7,11.2,32.0,18.3,61.8,2016
11,Finland,184.0,132.9,71.9,74.4,75.2,7.7,32.9,17.8,32.6,2016
12,United States,184.0,139.2,51.1,67.8,74.1,3.4,33.4,34.9,67.6,2016
13,Portugal,181.2,75.5,64.9,69.0,49.8,8.4,30.6,31.8,91.7,2016
14,United Kingdom,180.2,120.0,56.9,74.0,81.0,9.3,35.5,35.0,81.6,2016
15,Canada,177.2,134.8,60.8,68.6,64.8,6.1,37.8,29.5,46.2,2016
16,Japan,176.1,117.6,80.7,80.4,81.3,20.2,48.4,34.0,79.6,2016
17,Slovenia,175.9,89.8,73.7,58.5,52.2,9.7,25.0,28.2,62.5,2016
18,France,173.6,118.5,55.9,82.2,75.3,11.9,32.0,46.3,78.3,2016
19,Croatia,172.4,67.9,70.5,60.0,48.2,11.9,30.0,30.4,85.6,2016
20,Ireland,171.9,125.7,51.6,50.4,78.0,8.5,32.3,30.8,73.1,2016
21,South Korea,170.3,120.6,85.7,79.0,73.2,14.9,30.9,49.7,51.3,2016
22,Czech Republic,167.4,90.0,67.9,72.3,41.8,10.3,32.5,42.5,63.5,2016
23,Israel,166.6,115.5,69.4,76.1,75.7,10.6,37.8,61.5,81.9,2016
24,Greece,165.4,79.3,61.5,59.2,54.4,7.4,29.1,47.2,87.1,2016
25,Belgium,162.3,106.7,54.8,78.1,75.4,6.6,36.2,56.6,77.0,2016
26,Italy,159.3,105.7,53.8,67.8,68.8,10.4,36.5,56.6,86.2,2016
27,Saudi Arabia,159.2,167.9,74.8,65.1,47.6,2.8,38.7,72.2,16.8,2016
28,South Africa,156.7,126.1,21.6,59.6,34.7,3.3,43.2,63.3,91.4,2016
29,Poland,153.6,80.8,68.6,60.0,38.5,11.0,34.5,49.9,64.3,2016
30,Chile,147.3,78.4,58.0,61.1,43.9,9.9,33.8,67.2,85.7,2016
31,Bosnia And Herzegovina,146.7,60.6,57.5,60.5,34.6,10.9,23.4,57.9,75.3,2016
32,Romania,146.1,61.9,70.3,51.4,34.8,10.6,33.3,50.5,67.0,2016
33,United Arab Emirates,144.1,136.4,76.9,58.2,66.1,5.4,33.7,59.5,5.9,2016
34,Bulgaria,141.6,59.2,58.6,50.9,36.4,8.8,28.7,60.4,77.8,2016
35,Hungary,140.7,56.3,58.1,52.1,41.3,9.8,31.8,46.7,66.9,2016
36,Argentina,138.5,74.9,36.7,73.7,64.1,12.2,42.4,58.5,91.7,2016
37,Serbia,138.3,49.6,56.7,55.9,33.6,16.6,28.4,55.1,83.9,2016
38,Turkey,137.3,64.1,60.6,73.0,45.1,8.1,48.1,65.7,74.2,2016
39,Mexico,137.0,76.5,49.2,68.1,35.0,6.2,37.1,64.6,58.8,2016
40,Lithuania,134.3,61.3,56.8,67.4,45.6,12.9,30.2,30.9,24.4,2016
41,Colombia,128.5,46.0,51.5,73.2,29.2,16.3,44.2,64.4,84.5,2016
42,North Macedonia,115.0,46.7,62.0,60.0,31.0,15.5,40.7,85.3,80.6,2016
43,India,109.3,89.6,53.4,66.5,24.1,10.5,46.0,77.0,19.7,2016
44,Hong Kong,108.3,102.3,79.2,74.3,81.5,37.6,46.4,67.2,39.9,2016
45,Brazil,101.0,48.7,28.8,51.1,38.9,17.9,46.1,61.2,72.6,2016
46,China,99.0,77.4,67.9,61.2,48.1,25.0,44.1,85.5,46.6,2016
47,Iran,96.9,47.7,47.6,49.8,41.1,14.8,48.1,84.2,74.6,2016
48,Pakistan,94.0,43.3,43.4,61.3,26.7,15.3,36.8,76.6,41.2,2016
49,Singapore,93.1,110.5,84.2,69.1,83.7,23.2,43.4,38.8,-66.6,2016
50,Egypt,88.8,40.3,43.5,46.6,36.7,10.8,50.8,96.0,79.7,2016
51,Russia,88.3,57.4,52.7,54.1,38.5,12.8,49.1,64.5,10.9,2016
52,Ukraine,85.6,29.7,51.4,49.7,28.6,26.2,40.0,67.8,50.4,2016
53,Indonesia,72.2,35.5,53.0,62.6,36.3,19.5,41.4,75.1,8.0,2016
54,Philippines,65.8,42.9,62.4,72.3,34.7,19.2,46.0,73.1,-27.0,2016
55,Thailand,63.8,40.1,57.4,80.8,40.0,24.4,43.1,71.5,-23.3,2016
56,Malaysia,63.8,96.3,31.4,66.4,37.5,9.1,39.8,67.5,-71.2,2016
1,Denmark,201.5,135.2,76.5,78.2,84.4,6.3,28.0,26.8,66.1,2016/2
2,Switzerland,196.4,153.9,75.6,69.9,125.7,9.3,27.4,21.7,63.4,2016/2
3,Australia,196.4,137.3,58.0,74.1,79.7,7.5,35.8,24.1,80.6,2016/2
4,New Zealand,196.1,108.6,62.2,72.2,81.5,6.8,28.5,19.4,86.0,2016/2
5,Germany,189.9,136.1,67.3,76.0,66.8,7.2,31.2,27.7,52.0,2016/2
6,Austria,187.0,103.5,78.3,78.8,71.8,10.4,29.0,25.4,62.1,2016/2
7,Netherlands,186.5,120.1,69.1,69.2,73.0,6.5,33.8,29.1,67.1,2016/2
8,Spain,184.7,94.8,67.9,76.6,57.0,8.7,30.8,40.4,89.2,2016/2
9,Finland,184.0,123.4,73.5,74.8,74.4,8.0,33.8,14.6,34.8,2016/2
10,United States,181.9,130.2,51.3,68.2,73.2,3.4,33.9,32.7,67.4,2016/2
11,Portugal,180.7,68.4,65.5,69.8,49.8,8.9,30.1,29.9,93.0,2016/2
12,Sweden,177.9,117.3,54.9,74.7,77.6,11.8,31.0,16.6,55.2,2016/2
13,United Kingdom,177.7,109.8,57.6,74.3,72.7,9.5,34.3,34.2,78.7,2016/2
14,Norway,176.2,115.0,60.6,73.9,104.3,7.7,28.9,19.3,52.3,2016/2
15,Canada,172.8,118.1,60.5,68.8,69.1,6.5,37.2,28.2,51.2,2016/2
16,Japan,172.7,107.3,80.0,80.2,93.0,13.4,47.4,40.9,81.3,2016/2
17,France,172.3,105.4,56.6,80.6,76.9,11.4,33.6,42.0,82.3,2016/2
18,Estonia,171.7,72.3,74.1,71.3,50.5,11.0,22.3,19.2,44.6,2016/2
19,Ireland,170.8,115.5,53.6,53.4,78.7,7.7,35.6,27.5,72.0,2016/2
20,Czech Republic,167.8,82.8,68.7,74.6,41.6,10.6,31.2,42.2,66.3,2016/2
21,South Korea,167.5,108.4,85.0,88.4,74.5,13.2,33.3,50.3,49.0,2016/2
22,Croatia,167.5,63.9,71.3,61.8,49.4,11.7,29.4,30.7,76.7,2016/2
23,Belgium,162.6,99.3,55.1,78.2,76.2,7.1,37.3,50.5,77.3,2016/2
24,Israel,160.7,103.8,68.7,75.5,75.2,11.0,38.0,61.9,81.9,2016/2
25,Italy,160.2,102.6,55.0,66.6,69.7,10.6,36.9,53.0,86.7,2016/2
26,Saudi Arabia,157.0,161.4,74.5,60.9,46.3,2.7,36.6,72.1,18.3,2016/2
27,Greece,156.8,67.3,60.6,55.0,55.6,7.9,29.6,49.1,88.3,2016/2
28,Slovakia,154.1,67.6,68.8,61.1,45.7,9.6,32.2,44.3,65.1,2016/2
29,Taiwan,150.6,113.2,80.5,84.7,57.4,15.5,33.6,64.3,35.7,2016/2
30,Poland,150.1,75.3,67.4,60.5,38.4,10.9,34.7,50.8,63.9,2016/2
31,South Africa,148.9,111.4,22.5,61.5,37.8,3.3,43.4,64.5,88.0,2016/2
32,Romania,144.9,57.1,69.5,53.1,35.7,11.0,32.1,48.7,65.6,2016/2
33,Mexico,142.8,66.9,49.6,68.0,33.1,6.6,38.9,66.8,82.5,2016/2
34,Bosnia And Herzegovina,142.5,56.2,58.6,60.9,35.1,11.2,23.5,57.3,69.2,2016/2
35,United Arab Emirates,141.5,126.2,77.8,59.6,65.7,5.5,33.8,59.6,7.2,2016/2
36,Chile,140.7,70.0,52.0,60.3,47.9,10.0,35.7,66.8,88.9,2016/2
37,Hungary,140.0,50.7,59.2,52.5,42.3,10.8,31.1,45.5,68.4,2016/2
38,Bulgaria,139.7,54.3,58.0,53.4,37.0,9.2,27.5,61.7,78.2,2016/2
39,Argentina,137.3,61.3,36.9,74.1,55.3,13.1,39.1,56.1,91.7,2016/2
40,Serbia,135.9,44.8,60.1,55.8,34.5,17.6,27.9,55.9,82.7,2016/2
41,Qatar,135.6,131.0,79.6,68.9,68.0,5.7,32.0,80.3,9.3,2016/2
42,Lithuania,133.4,57.8,58.4,67.6,46.9,12.3,29.2,33.2,24.9,2016/2
43,Turkey,129.7,59.9,60.5,71.9,46.7,8.3,49.0,69.2,70.0,2016/2
44,Jordan,120.6,46.5,56.0,71.2,55.5,8.6,47.2,83.3,88.6,2016/2
45,Colombia,118.5,40.8,49.3,67.5,32.4,18.2,45.0,64.6,81.5,2016/2
46,North Macedonia,114.9,42.8,61.5,62.4,32.0,14.9,35.3,85.0,75.5,2016/2
47,India,106.3,83.2,55.2,68.4,24.0,10.8,45.1,76.6,14.5,2016/2
48,Hong Kong,104.0,91.8,79.7,75.3,78.2,35.0,43.9,67.5,29.8,2016/2
49,Iran,97.0,46.7,48.1,50.1,38.2,13.6,49.2,83.6,71.5,2016/2
50,Brazil,94.8,46.9,29.4,52.0,49.1,16.6,47.2,61.0,62.4,2016/2
51,China,94.6,68.4,68.5,62.2,45.7,25.7,44.7,88.1,48.1,2016/2
52,Pakistan,92.3,42.3,43.6,58.6,26.3,12.6,38.8,77.8,38.5,2016/2
53,Singapore,88.9,98.0,83.5,70.9,87.8,20.9,42.1,37.7,-71.5,2016/2
54,Egypt,88.4,37.1,43.5,46.6,32.6,10.8,51.0,92.8,75.6,2016/2
55,Russia,86.5,52.6,52.6,55.4,35.6,13.3,48.4,64.5,9.2,2016/2
56,Ukraine,84.1,27.5,50.6,48.1,27.0,25.8,39.5,68.6,50.5,2016/2
57,Indonesia,66.4,33.7,50.5,65.4,38.4,18.6,47.3,76.2,4.4,2016/2
58,Philippines,60.0,38.4,61.0,68.8,35.3,17.4,44.6,71.6,-37.7,2016/2
59,Malaysia,57.4,83.1,34.4,65.8,42.2,9.4,39.3,67.6,-73.7,2016/2
60,Thailand,49.5,37.2,47.8,79.8,42.0,24.1,43.4,72.8,-36.9,2016/2
61,Vietnam,31.5,24.1,46.5,42.3,39.1,28.9,33.8,88.4,-11.6,2016/2
1,Austria,190.4,95.7,80.8,80.9,71.5,9.7,26.3,21.9,62.1,2017
2,Germany,189.7,124.9,68.0,76.7,65.5,7.5,30.6,27.1,58.0,2017
3,Denmark,184.9,98.8,78.9,75.4,83.0,8.2,28.4,26.0,64.2,2017
4,New Zealand,184.7,89.9,61.2,70.6,80.8,8.1,30.2,20.0,85.4,2017
5,Spain,183.6,87.9,68.7,76.7,55.0,8.3,32.6,37.5,88.0,2017
6,Finland,182.9,115.0,75.4,74.8,73.1,7.6,34.9,13.4,35.8,2017
7,United States,179.7,123.2,51.2,68.2,75.4,3.3,34.6,31.2,67.9,2017
8,Portugal,178.4,62.7,64.6,70.3,49.2,8.9,30.4,28.9,92.2,2017
9,Australia,176.5,101.9,57.6,74.2,80.7,9.2,34.7,24.6,72.8,2017
10,Slovenia,175.5,78.2,75.9,64.4,53.2,8.3,26.5,26.4,60.5,2017
11,Netherlands,175.2,86.5,70.1,82.5,72.5,8.5,33.9,27.6,61.9,2017
12,Switzerland,173.5,95.3,77.6,71.0,122.1,14.0,28.3,20.8,69.3,2017
13,United Kingdom,172.9,96.9,58.8,74.3,69.5,10.0,34.6,34.9,78.9,2017
14,Sweden,172.7,107.2,53.4,70.6,75.9,11.8,31.6,17.9,59.1,2017
15,Estonia,171.1,68.5,77.0,71.3,49.5,10.5,26.7,17.7,44.6,2017
16,Croatia,170.6,60.7,72.2,65.5,48.0,10.9,28.5,33.3,82.0,2017
17,Canada,167.2,108.0,60.8,69.2,70.2,6.4,36.2,26.5,44.3,2017
18,Ireland,166.9,103.5,54.2,53.3,77.0,7.0,35.0,27.2,70.2,2017
19,Cyprus,166.6,95.9,67.5,54.2,54.1,5.2,20.3,54.8,71.0,2017
20,Norway,165.9,105.6,54.3,74.2,106.3,7.9,31.3,19.5,49.3,2017
21,Czech Republic,165.4,76.2,69.8,74.1,41.2,10.7,32.0,41.0,65.3,2017
22,South Korea,162.5,102.4,74.7,83.2,75.4,12.4,34.2,52.7,61.2,2017
23,Belgium,160.5,91.0,55.5,78.9,75.4,7.0,36.3,48.9,75.2,2017
24,France,160.3,87.3,56.3,78.6,74.9,11.6,35.8,40.2,73.9,2017
25,Israel,157.9,94.5,71.0,74.8,77.7,10.9,36.5,61.7,81.0,2017
26,Slovakia,152.5,64.7,69.8,62.6,44.9,9.9,36.0,43.5,65.1,2017
27,Poland,150.2,71.8,68.5,61.5,38.1,10.1,34.6,50.3,62.5,2017
28,Taiwan,150.1,118.6,82.8,81.1,61.4,12.9,32.7,62.9,24.5,2017
29,Greece,148.3,58.2,59.7,53.9,55.9,8.3,31.6,52.0,87.3,2017
30,Japan,147.5,102.5,79.1,78.6,85.3,12.7,46.8,41.0,31.9,2017
31,Saudi Arabia,146.4,138.1,76.4,60.4,48.4,2.8,36.3,74.2,18.0,2017
32,South Africa,144.7,99.0,24.3,61.7,43.1,3.6,43.0,63.6,88.7,2017
33,Romania,143.0,53.4,72.1,53.1,35.6,10.8,32.0,50.9,64.5,2017
34,Italy,142.5,71.8,55.3,66.3,83.7,12.4,36.4,51.6,82.6,2017
35,Argentina,139.6,58.4,37.4,73.3,52.6,12.1,37.9,53.3,90.7,2017
36,United Arab Emirates,139.3,116.8,79.3,60.5,68.0,5.6,35.1,58.5,8.9,2017
37,Bosnia And Herzegovina,139.1,51.3,59.0,61.5,35.0,11.3,26.6,60.7,73.3,2017
38,Hungary,138.8,47.5,61.6,53.5,42.8,11.2,33.1,44.0,66.5,2017
39,Bulgaria,138.2,51.4,59.8,54.0,36.5,9.1,27.9,63.1,77.1,2017
