Country,Region,Happiness Rank,Happiness Score,Economy,Family,Health,Freedom,Generosity,Trust,Dystopia
El Salvador,Latin America and Caribbean,34,6.34829998,8.909075737,0.806092262,66.10826111,0.833805263,-0.121072978,0.754319906,2.937191725
Kosovo,Central and Eastern Europe,35,6.325200081,9.204429626,0.820726514,63.88555527,0.861535907,0.190933764,0.922328293,2.736902714
Panama,Latin America and Caribbean,36,6.304800034,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905,2.221176147
Slovakia,Central and Eastern Europe,37,6.280600071,10.34774971,0.922493756,68.90634155,0.749952674,-0.124409303,0.918096125,2.256422043
Uzbekistan,Commonwealth of Independent States,38,6.257599831,8.740371704,0.926595807,65.10757446,0.974998116,0.248427153,0.501497388,2.073346615
Chile,Latin America and Caribbean,39,6.228499889,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431,2.283012867
Bahrain,Middle East and North Africa,40,6.227300167,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393471,1.751917362
Lithuania,Central and Eastern Europe,41,6.215499878,10.34362602,0.926107109,67.29407501,0.747381449,-0.219725296,0.809583843,2.238146067
Trinidad and Tobago,Latin America and Caribbean,42,6.191899776,10.26000214,0.91529417,63.5,0.857907116,0.000526841,0.912230611,2.190695763
Poland,Central and Eastern Europe,43,6.186299801,10.26512432,0.874257445,69.31113434,0.862055779,-0.205084071,0.686927021,2.056797981
Colombia,Latin America and Caribbean,44,6.163400173,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181,2.421656609
Cyprus,Western Europe,45,6.15899992,10.40570259,0.805996239,73.70222473,0.779858291,0.043731496,0.856271744,2.032334805
Nicaragua,Latin America and Caribbean,46,6.13710022,8.493160248,0.857497036,67.50717926,0.863902867,0.020959141,0.665950119,2.496081114
Romania,Central and Eastern Europe,47,6.123700142,10.107584,0.825161517,67.20723724,0.842823207,-0.19781521,0.934300244,2.412749767
Kuwait,Middle East and North Africa,48,6.102099895,11.08982468,0.846475244,66.76764679,0.872366488,-0.100184701,0.760849059,1.840167999
Mauritius,Sub-Saharan Africa,49,6.101299763,9.956786156,0.910357833,66.40434265,0.889534533,-0.018318573,0.805343091,2.006720543
Kazakhstan,Commonwealth of Independent States,50,6.057899952,10.11465836,0.934744895,64.60996246,0.811601937,-0.068488635,0.764490843,2.021602631
Estonia,Central and Eastern Europe,51,6.021800041,10.34001732,0.934729993,68.60495758,0.87770915,-0.111697771,0.623073816,1.629928112
Philippines,Southeast Asia,52,6.006000042,8.993545532,0.846730053,61.92676163,0.915463448,-0.105463006,0.733634114,2.501741886
Hungary,Central and Eastern Europe,53,6.000400066,10.24924374,0.921934128,67.60997009,0.718964577,-0.194323018,0.892916501,2.121845722
Thailand,Southeast Asia,54,5.998799801,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311,1.832384109
Argentina,Latin America and Caribbean,55,5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,2.072540998
Honduras,Latin America and Caribbean,56,5.953199863,8.424534798,0.821870148,67.19876862,0.870603263,0.086969115,0.801131904,2.464295387
Latvia,Central and Eastern Europe,57,5.949999809,10.17531967,0.918288589,66.8074646,0.671237648,-0.186888844,0.795580089,2.121283054
Ecuador,Latin America and Caribbean,58,5.925199986,9.246058464,0.836418986,68.50003815,0.859828949,-0.127014965,0.801215112,2.254933834
Portugal,Western Europe,59,5.910900116,10.26374245,0.886590719,72.40202332,0.888747811,-0.220714301,0.892629504,1.752558708
Jamaica,Latin America and Caribbean,60,5.889800072,9.006250381,0.915701866,67.09999847,0.858068526,-0.125106767,0.888890028,2.214436531
South Korea,East Asia,61,5.872399807,10.51056671,0.799387157,73.6027298,0.612965107,-0.043404032,0.789067447,1.946757078
Japan,East Asia,62,5.870800018,10.57968903,0.883545935,75.00096893,0.809961379,-0.246910349,0.654558063,1.486200333
Peru,Latin America and Caribbean,63,5.796800137,9.456313133,0.831075251,68.10023499,0.824766099,-0.16238822,0.893714964,2.213499546
Serbia,Central and Eastern Europe,64,5.77820015,9.680980682,0.881475747,68.21020508,0.726495862,-0.073676221,0.843509018,2.029040098
Bolivia,Latin America and Caribbean,65,5.747499943,8.851115227,0.803108692,63.6004715,0.875873327,-0.09168113,0.822606206,2.425928593
Pakistan,South Asia,66,5.69329977,8.482727051,0.689062297,58.25313568,0.734833717,0.04489987,0.745705426,2.976876736
Paraguay,Latin America and Caribbean,67,5.692100048,9.389982224,0.898727894,65.63993835,0.885923445,0.007997713,0.834788501,1.83412528
Dominican Republic,Latin America and Caribbean,68,5.689199924,9.664880753,0.882085383,65.80748749,0.866202772,-0.131263286,0.755999923,1.844246864
Bosnia and Herzegovina,Central and Eastern Europe,69,5.674099922,9.455817223,0.829204142,67.80813599,0.651352704,0.098274559,0.933769107,2.16724205
Moldova,Commonwealth of Independent States,70,5.607500076,8.776714325,0.843313575,65.01301575,0.721609175,-0.037741039,0.913314283,2.370968342
Tajikistan,Commonwealth of Independent States,71,5.555699825,8.024810791,0.835297108,64.10459137,0.831383407,-0.025088511,0.592076063,2.25650835
Montenegro,Central and Eastern Europe,72,5.54610014,9.751860619,0.855314612,68.50534821,0.649565637,-0.075600356,0.783121586,1.880565882
Russia,Commonwealth of Independent States,73,5.546000004,10.12887192,0.903150737,64.10045624,0.729892612,-0.151153743,0.864802599,1.815716743
Kyrgyzstan,Commonwealth of Independent States,74,5.541500092,8.148405075,0.887228489,64.10601044,0.909374893,0.154772058,0.888396084,2.060206652
Belarus,Commonwealth of Independent States,75,5.539899826,9.779945374,0.90674746,66.10433197,0.639163077,-0.164926544,0.63571167,1.8069911
North Cyprus,Western Europe,76,5.53550005,10.40570259,0.820356607,73.70222473,0.79529351,0.000227159,0.62611568,1.23668766
Greece,Western Europe,77,5.514999866,10.13232613,0.814380348,72.40525818,0.541345119,-0.300907373,0.859931409,2.016179085
Hong Kong S.A.R. of China,East Asia,78,5.510399818,10.9346714,0.845969081,76.77170563,0.779833794,0.134979904,0.420607209,0.673293114
Croatia,Central and Eastern Europe,79,5.504700184,10.07087517,0.874623716,70.21490479,0.714838803,-0.128538325,0.916495264,1.676029205
Libya,Middle East and North Africa,80,5.488800049,9.789815903,0.825942934,62.29999924,0.773157001,-0.085054487,0.668779135,1.888563156
Mongolia,East Asia,81,5.456200123,9.412186623,0.937142491,62.30448532,0.693351328,0.098093867,0.863511205,1.810527563
Malaysia,Southeast Asia,82,5.384300232,10.26251888,0.816509426,67.10215759,0.894626856,0.114726797,0.839302301,1.319420815
Vietnam,Southeast Asia,83,5.353499889,8.809545517,0.849987149,67.9527359,0.939592957,-0.094533332,0.79642123,1.685977936
Indonesia,Southeast Asia,84,5.285600185,9.36975193,0.808379889,62.15584946,0.870614409,0.519586504,0.876296401,1.479573488
Ivory Coast,Sub-Saharan Africa,85,5.233300209,8.225561142,0.658048689,49.50377274,0.727909327,-0.043991156,0.790771961,3.081022501
Benin,Sub-Saharan Africa,86,5.21600008,7.674319744,0.468671143,54.31246567,0.735182583,-0.003537213,0.740532577,3.440809727
Maldives,South Asia,87,5.197599888,9.518632889,0.91316092,70.59999847,0.853962779,0.038085498,0.824211061,1.098674774
Congo (Brazzaville),Sub-Saharan Africa,88,5.194399834,8.536987305,0.640228093,57.92448044,0.719058514,-0.123674095,0.751779079,2.722619534
Azerbaijan,Commonwealth of Independent States,89,5.164800167,9.687726974,0.819308281,65.50839996,0.786824107,-0.240255281,0.55253756,1.507632971
Macedonia,Central and Eastern Europe,90,5.159800053,9.510591507,0.820392311,67.50442505,0.738840938,-0.019877451,0.897490501,1.617594957
Ghana,Sub-Saharan Africa,91,5.147999763,8.350645065,0.728601098,57.20398712,0.794796526,0.094170853,0.847964764,2.378437281
Nepal,South Asia,92,5.137199879,7.925357342,0.785512447,63.77917862,0.797565043,0.154168829,0.738099158,2.014386892
Turkey,Middle East and North Africa,93,5.131800175,10.12941933,0.826313555,66.90281677,0.608830452,-0.171046436,0.748197377,1.564816713
China,East Asia,94,5.123899937,9.688568115,0.798760593,69.2891922,0.898517907,-0.18142575,0.7539711,1.336181879
Turkmenistan,Commonwealth of Independent States,95,5.119100094,9.74803257,0.958966196,62.21170807,0.826457024,0.187671542,0.883691847,1.115337372
Bulgaria,Central and Eastern Europe,96,5.101500034,9.869318962,0.937840343,66.80397797,0.745178163,-0.143908441,0.935585141,1.294961452
Morocco,Middle East and North Africa,97,5.094799995,8.940313339,0.592628479,65.89624023,0.772072434,-0.240377247,0.815724611,2.378402472
Cameroon,Sub-Saharan Africa,98,5.084899902,8.118647575,0.700386405,52.7049408,0.763051808,-0.00149645,0.851336598,2.719370842
Venezuela,Latin America and Caribbean,99,5.053199768,8.977793694,0.890408158,66.50534058,0.62327832,-0.169090509,0.837038398,1.74484086
Algeria,Middle East and North Africa,100,5.005099773,9.537964821,0.803385139,65.90517426,0.466610909,-0.121105164,0.735485137,1.840811729
Senegal,Sub-Saharan Africa,101,4.980800152,8.118982315,0.723616004,59.59915161,0.690596163,-0.052335154,0.808785141,2.405123949
Guinea,Sub-Saharan Africa,102,4.949299812,7.750990391,0.637573481,54.46780014,0.706846774,0.076328471,0.761794448,2.740729809
Niger,Sub-Saharan Africa,103,4.909599781,6.842166901,0.617435038,53.50009537,0.759772122,0.013860817,0.722530186,3.017630577
Laos,Southeast Asia,104,4.888599873,8.79858017,0.737502217,58.70992279,0.907213569,0.11137148,0.634679317,1.621152639
Albania,Central and Eastern Europe,105,4.882699966,9.417930603,0.671070457,68.70813751,0.781994224,-0.042309489,0.896303713,1.640897036
Cambodia,Southeast Asia,106,4.848400116,8.249890327,0.773080647,61.52996826,0.959704638,0.051911179,0.822769046,1.663300037
Bangladesh,South Asia,107,4.832799911,8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538,1.755261898
Gabon,Sub-Saharan Africa,108,4.829299927,9.680537224,0.787886858,59.71533966,0.704829216,-0.222261623,0.849150956,1.735027552
South Africa,Sub-Saharan Africa,109,4.814099789,9.403370857,0.852532268,56.50601196,0.759330094,-0.109777324,0.843423843,1.625117302
Iraq,Middle East and North Africa,110,4.784800053,9.661095619,0.747694969,59.90354919,0.633182645,-0.06956476,0.82226181,1.752173662
Lebanon,Middle East and North Africa,111,4.771500111,9.3617239,0.824338138,67.10658264,0.551357508,-0.06121527,0.90225625,1.53554225
Burkina Faso,Sub-Saharan Africa,112,4.768700123,7.46854496,0.712943614,53.88945389,0.665563583,-0.019080516,0.739795029,2.588826418
Gambia,Sub-Saharan Africa,113,4.750599861,7.321814537,0.6931687,55.0120163,0.733163178,0.343198717,0.690717816,2.270216465
Mali,Sub-Saharan Africa,114,4.729300022,7.629852295,0.731468976,51.72698212,0.71156615,-0.044366926,0.839328408,2.559335232
Nigeria,Sub-Saharan Africa,115,4.724100113,8.57662487,0.73721689,49.86190796,0.759578407,0.033745807,0.861874342,2.219635487
Armenia,Commonwealth of Independent States,116,4.676799774,9.100476265,0.757479429,66.75065613,0.712017834,-0.13877961,0.773544788,1.468161583
Georgia,Commonwealth of Independent States,117,4.672599792,9.226100922,0.629033029,64.49520874,0.801641524,-0.22892037,0.665944695,1.69239831
Iran,Middle East and North Africa,118,4.672399998,9.813719749,0.694689691,66.00614929,0.647873282,0.117891103,0.714635968,1.286969423
Jordan,Middle East and North Africa,119,4.633399963,9.025999069,0.80216372,66.79975128,0.75104779,-0.162565202,0.700344324,1.262258053
Mozambique,Sub-Saharan Africa,120,4.623600006,7.069345951,0.723874032,54.20582199,0.864451885,0.032375868,0.683019102,2.221216202
Kenya,Sub-Saharan Africa,121,4.583000183,8.02977562,0.702652037,60.09693146,0.829747558,0.294681519,0.831499159,1.684904575
Namibia,Sub-Saharan Africa,122,4.571100235,9.203141212,0.846880972,56.50148773,0.767520964,-0.18530646,0.851449788,1.503033161
Ukraine,Commonwealth of Independent States,123,4.56069994,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706,0.920636714,1.252669334
Liberia,Sub-Saharan Africa,124,4.557899952,7.054380417,0.70928055,56.09631348,0.735268712,0.04227322,0.856375933,2.386757851
Palestinian Territories,Middle East and North Africa,125,4.552800179,8.389223099,0.825295925,62.25,0.645791829,-0.162079096,0.824199975,1.693985701
Uganda,Sub-Saharan Africa,126,4.43200016,7.500389576,0.764994621,55.70820236,0.731713951,0.099487431,0.836737812,1.958671093
Chad,Sub-Saharan Africa,127,4.422699928,7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,0.802760839,2.74742651
Tunisia,Middle East and North Africa,128,4.392199993,9.314972878,0.688718557,66.89785767,0.593361557,-0.216413811,0.867590249,1.528496742
Mauritania,Sub-Saharan Africa,129,4.374599934,8.233919144,0.790819228,57.01017761,0.551522553,-0.106008142,0.746223509,1.85955739
Sri Lanka,South Asia,130,4.327000141,9.389969826,0.825374067,67.20006561,0.837633669,0.081129618,0.859001756,0.611288548
Congo (Kinshasa),Sub-Saharan Africa,131,4.31099987,6.694256306,0.672159016,52.90000153,0.700793564,0.083637655,0.809403598,2.437864304
Swaziland,Sub-Saharan Africa,132,4.308100224,9.16267395,0.770290196,51.18823624,0.646822274,-0.19920142,0.708263338,1.686207294
Myanmar,Southeast Asia,133,4.308000088,8.680481911,0.78440702,58.96171188,0.895075202,0.560663998,0.645124316,0.681462526
Comoros,Sub-Saharan Africa,134,4.288599968,7.833630085,0.625662446,57.34901047,0.547612607,0.090008408,0.780622602,2.17276907
Togo,Sub-Saharan Africa,135,4.187200069,7.357711315,0.551312625,54.71989822,0.649828613,0.002667875,0.757733464,2.409595251
Ethiopia,Sub-Saharan Africa,136,4.186200142,7.509385586,0.743307352,58.63959122,0.740795195,0.043377332,0.753690004,1.628459215
Madagascar,Sub-Saharan Africa,137,4.165599823,7.281685829,0.668195903,59.10542679,0.557574093,-0.011823639,0.817485631,2.136298418
Egypt,Middle East and North Africa,138,4.151400089,9.316541672,0.735447824,61.78015137,0.708354175,-0.196878314,0.787726879,1.158818245
Sierra Leone,Sub-Saharan Africa,139,3.926399946,7.26880312,0.636142015,50.86514282,0.715315044,0.088660747,0.861330688,2.046271801
Burundi,Sub-Saharan Africa,140,3.775300026,6.492642403,0.490325719,53.40000153,0.626350224,-0.017551597,0.606934547,2.401507378
Zambia,Sub-Saharan Africa,141,3.759399891,8.224720001,0.698824465,55.29937744,0.806500256,0.078037128,0.801289678,1.134339333
Haiti,Latin America and Caribbean,142,3.720799923,7.411329269,0.593247831,55.59862518,0.537825167,0.40053457,0.684767246,1.619916916
Lesotho,Sub-Saharan Africa,143,3.652800083,7.960488319,0.780495703,48.00362396,0.738125861,-0.145732045,0.857392073,1.445513964
India,South Asia,144,3.573299885,8.849823952,0.592200935,60.21518707,0.881444871,0.057551607,0.772042692,0.734130859
Malawi,Sub-Saharan Africa,145,3.538000107,7.062226295,0.544007301,57.59288788,0.803223193,0.021433279,0.731700778,1.552718282
Yemen,Middle East and North Africa,146,3.527400017,7.759682655,0.817980587,56.72728348,0.599920273,-0.157735437,0.800287724,1.116472721
Botswana,Sub-Saharan Africa,147,3.478899956,9.711203575,0.779121757,58.92445374,0.821328104,-0.250394493,0.777930915,0.257240534
Tanzania,Sub-Saharan Africa,148,3.476200104,7.967665195,0.688933194,57.49607468,0.82153976,0.109668687,0.619799435,0.718963385
Central African Republic,Sub-Saharan Africa,149,3.475899935,6.625160217,0.319459856,45.20000076,0.640880644,0.082410358,0.891806662,2.860197544
Rwanda,Sub-Saharan Africa,150,3.312299967,7.600104332,0.54083544,61.09884644,0.900589406,0.055483952,0.183541179,0.548444986
Zimbabwe,Sub-Saharan Africa,151,3.299200058,7.865711689,0.763092756,55.61725998,0.711457908,-0.072063953,0.81023699,0.841031075
South Sudan,Sub-Saharan Africa,152,2.816600084,7.425359726,0.553707123,51.0,0.451313615,0.016518548,0.763417304,1.378751278
Afghanistan,South Asia,153,2.566900015,7.462860584,0.470366955,52.59000015,0.396573007,-0.0964294,0.933686554,1.507235646
